frequency[hz];phasevelocity[m/s];vel_min[m/s];vel_max[m/s]
5.5;733.250601684717;485.643132716049;1000
6;604.497593261131;444.073302469136;1000
6.5;557.888086642599;436.793055555556;847.854166666667
7;513.455675892499;430.421604938272;691.675925925926
7.5;469.023265142399;424.050154320988;535.497685185185
8;443.506913697977;408.05607966457;480.526729559748
8.5;424.072497332153;388.968116701607;458.096174004193
9;404.638080966328;369.880153738644;435.665618448637
9.5;385.203664600504;350.792190775681;413.235062893082
10;365.76924823468;331.704227812718;390.804507337526
10.5;347.003120364929;313.496985357451;369.159022394488
11;336.787423390144;306.558139534884;357.558139534884
11.5;326.571726415358;299.619293712317;345.95725667528
12;316.356029440573;292.68044788975;334.356373815676
12.5;306.140332465788;285.741602067183;322.755490956072
13;298.139075124635;280.350529100529;313.968253968254
13.5;292.729284854736;276.770750661376;308.47371031746
14;287.319494584838;273.190972222222;302.979166666667
14.5;281.909704314939;269.611193783069;297.484623015873
15;276.49991404504;266.031415343915;291.990079365079
15.5;271.090123775142;262.451636904762;286.495535714286
16;267.588177377942;259.649584076055;283.670083184789
16.5;266.373144269194;257.779783125371;284.044043374926
17;265.158111160447;255.909982174688;284.418003565062
17.5;263.9430780517;254.040181224005;284.791963755199
18;262.728044942953;252.170380273321;285.165923945336
18.5;261.513011834205;250.300579322638;285.539884135472
19;260.297978725458;248.430778371955;285.913844325609
